ZEIT,RAUM,MERKMAL,WERT
31.12.2007,98 Amelsbüren,Deutsche ohne erkennbare Migrationsvorgeschichte,4725
31.12.2008,11 Aegidii,Ausländer,99
31.12.2008,11 Aegidii,Deutsche mit persönlicher Migrationsvorgeschichte,100
31.12.2008,11 Aegidii,Deutsche mit vererbter Migrationsvorgeschichte,17
31.12.2008,11 Aegidii,Deutsche ohne erkennbare Migrationsvorgeschichte,1138
31.12.2008,12 Überwasser,Ausländer,129
31.12.2008,12 Überwasser,Deutsche mit persönlicher Migrationsvorgeschichte,95
31.12.2008,12 Überwasser,Deutsche mit vererbter Migrationsvorgeschichte,18
31.12.2008,12 Überwasser,Deutsche ohne erkennbare Migrationsvorgeschichte,1043
31.12.2008,13 Dom,Ausländer,172
31.12.2008,13 Dom,Deutsche mit persönlicher Migrationsvorgeschichte,150
31.12.2008,13 Dom,Deutsche mit vererbter Migrationsvorgeschichte,20
31.12.2008,13 Dom,Deutsche ohne erkennbare Migrationsvorgeschichte,1769
31.12.2008,14 Buddenturm,Ausländer,143
31.12.2008,14 Buddenturm,Deutsche mit persönlicher Migrationsvorgeschichte,146
31.12.2008,14 Buddenturm,Deutsche mit vererbter Migrationsvorgeschichte,32
31.12.2008,14 Buddenturm,Deutsche ohne erkennbare Migrationsvorgeschichte,1867
31.12.2008,15 Martini,Ausländer,110
31.12.2008,15 Martini,Deutsche mit persönlicher Migrationsvorgeschichte,77
31.12.2008,15 Martini,Deutsche mit vererbter Migrationsvorgeschichte,13
31.12.2008,15 Martini,Deutsche ohne erkennbare Migrationsvorgeschichte,1094
31.12.2008,21 Pluggendorf,Ausländer,297
31.12.2008,21 Pluggendorf,Deutsche mit persönlicher Migrationsvorgeschichte,292
31.12.2008,21 Pluggendorf,Deutsche mit vererbter Migrationsvorgeschichte,20
31.12.2008,21 Pluggendorf,Deutsche ohne erkennbare Migrationsvorgeschichte,3412
31.12.2008,22 Josef,Ausländer,555
31.12.2008,22 Josef,Deutsche mit persönlicher Migrationsvorgeschichte,446
31.12.2008,22 Josef,Deutsche mit vererbter Migrationsvorgeschichte,80
31.12.2008,22 Josef,Deutsche ohne erkennbare Migrationsvorgeschichte,6764
31.12.2008,23 Bahnhof,Ausländer,88
31.12.2008,23 Bahnhof,Deutsche mit persönlicher Migrationsvorgeschichte,92
31.12.2008,23 Bahnhof,Deutsche mit vererbter Migrationsvorgeschichte,9
31.12.2008,23 Bahnhof,Deutsche ohne erkennbare Migrationsvorgeschichte,836
31.12.2008,24 Hansaplatz,Ausländer,425
31.12.2008,24 Hansaplatz,Deutsche mit persönlicher Migrationsvorgeschichte,419
31.12.2008,24 Hansaplatz,Deutsche mit vererbter Migrationsvorgeschichte,105
31.12.2008,24 Hansaplatz,Deutsche ohne erkennbare Migrationsvorgeschichte,5403
31.12.2008,25 Mauritz-West,Ausländer,297
31.12.2008,25 Mauritz-West,Deutsche mit persönlicher Migrationsvorgeschichte,288
31.12.2008,25 Mauritz-West,Deutsche mit vererbter Migrationsvorgeschichte,64
31.12.2008,25 Mauritz-West,Deutsche ohne erkennbare Migrationsvorgeschichte,5007
31.12.2008,26 Schlachthof,Ausländer,257
31.12.2008,26 Schlachthof,Deutsche mit persönlicher Migrationsvorgeschichte,458
31.12.2008,26 Schlachthof,Deutsche mit vererbter Migrationsvorgeschichte,184
31.12.2008,26 Schlachthof,Deutsche ohne erkennbare Migrationsvorgeschichte,3901
31.12.2008,27 Kreuz,Ausländer,490
31.12.2008,27 Kreuz,Deutsche mit persönlicher Migrationsvorgeschichte,590
31.12.2008,27 Kreuz,Deutsche mit vererbter Migrationsvorgeschichte,135
31.12.2008,27 Kreuz,Deutsche ohne erkennbare Migrationsvorgeschichte,10398
31.12.2008,28 Neutor,Ausländer,496
31.12.2008,28 Neutor,Deutsche mit persönlicher Migrationsvorgeschichte,270
31.12.2008,28 Neutor,Deutsche mit vererbter Migrationsvorgeschichte,63
31.12.2008,28 Neutor,Deutsche ohne erkennbare Migrationsvorgeschichte,2982
31.12.2008,29 Schloss,Ausländer,157
31.12.2008,29 Schloss,Deutsche mit persönlicher Migrationsvorgeschichte,120
31.12.2008,29 Schloss,Deutsche mit vererbter Migrationsvorgeschichte,23
31.12.2008,29 Schloss,Deutsche ohne erkennbare Migrationsvorgeschichte,1588
31.12.2008,31 Aaseestadt,Ausländer,540
31.12.2008,31 Aaseestadt,Deutsche mit persönlicher Migrationsvorgeschichte,609
31.12.2008,31 Aaseestadt,Deutsche mit vererbter Migrationsvorgeschichte,129
31.12.2008,31 Aaseestadt,Deutsche ohne erkennbare Migrationsvorgeschichte,4040
31.12.2008,32 Geist,Ausländer,558
31.12.2008,32 Geist,Deutsche mit persönlicher Migrationsvorgeschichte,685
31.12.2008,32 Geist,Deutsche mit vererbter Migrationsvorgeschichte,192
31.12.2008,32 Geist,Deutsche ohne erkennbare Migrationsvorgeschichte,7155
31.12.2008,33 Schützenhof,Ausländer,757
31.12.2008,33 Schützenhof,Deutsche mit persönlicher Migrationsvorgeschichte,655
31.12.2008,33 Schützenhof,Deutsche mit vererbter Migrationsvorgeschichte,193
31.12.2008,33 Schützenhof,Deutsche ohne erkennbare Migrationsvorgeschichte,5376
31.12.2008,34 Düesberg,Ausländer,264
31.12.2008,34 Düesberg,Deutsche mit persönlicher Migrationsvorgeschichte,496
31.12.2008,34 Düesberg,Deutsche mit vererbter Migrationsvorgeschichte,108
31.12.2008,34 Düesberg,Deutsche ohne erkennbare Migrationsvorgeschichte,5757
31.12.2008,43 Hafen,Ausländer,127
31.12.2008,43 Hafen,Deutsche mit persönlicher Migrationsvorgeschichte,41
31.12.2008,43 Hafen,Deutsche mit vererbter Migrationsvorgeschichte,13
31.12.2008,43 Hafen,Deutsche ohne erkennbare Migrationsvorgeschichte,760
31.12.2008,44 Herz-Jesu,Ausländer,311
31.12.2008,44 Herz-Jesu,Deutsche mit persönlicher Migrationsvorgeschichte,377
31.12.2008,44 Herz-Jesu,Deutsche mit vererbter Migrationsvorgeschichte,86
31.12.2008,44 Herz-Jesu,Deutsche ohne erkennbare Migrationsvorgeschichte,4345
31.12.2008,45 Mauritz-Mitte,Ausländer,406
31.12.2008,45 Mauritz-Mitte,Deutsche mit persönlicher Migrationsvorgeschichte,661
31.12.2008,45 Mauritz-Mitte,Deutsche mit vererbter Migrationsvorgeschichte,180
31.12.2008,45 Mauritz-Mitte,Deutsche ohne erkennbare Migrationsvorgeschichte,8661
31.12.2008,46 Rumphorst,Ausländer,424
31.12.2008,46 Rumphorst,Deutsche mit persönlicher Migrationsvorgeschichte,674
31.12.2008,46 Rumphorst,Deutsche mit vererbter Migrationsvorgeschichte,229
31.12.2008,46 Rumphorst,Deutsche ohne erkennbare Migrationsvorgeschichte,6518
31.12.2008,47 Uppenberg,Ausländer,678
31.12.2008,47 Uppenberg,Deutsche mit persönlicher Migrationsvorgeschichte,803
31.12.2008,47 Uppenberg,Deutsche mit vererbter Migrationsvorgeschichte,281
31.12.2008,47 Uppenberg,Deutsche ohne erkennbare Migrationsvorgeschichte,5861
31.12.2008,51 Gievenbeck,Ausländer,2391
31.12.2008,51 Gievenbeck,Deutsche mit persönlicher Migrationsvorgeschichte,2614
31.12.2008,51 Gievenbeck,Deutsche mit vererbter Migrationsvorgeschichte,1061
31.12.2008,51 Gievenbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,12651
31.12.2008,52 Sentrup,Ausländer,522
31.12.2008,52 Sentrup,Deutsche mit persönlicher Migrationsvorgeschichte,426
31.12.2008,52 Sentrup,Deutsche mit vererbter Migrationsvorgeschichte,122
31.12.2008,52 Sentrup,Deutsche ohne erkennbare Migrationsvorgeschichte,5238
31.12.2008,54 Mecklenbeck,Ausländer,570
31.12.2008,54 Mecklenbeck,Deutsche mit persönlicher Migrationsvorgeschichte,1055
31.12.2008,54 Mecklenbeck,Deutsche mit vererbter Migrationsvorgeschichte,309
31.12.2008,54 Mecklenbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,7289
31.12.2008,56 Albachten,Ausländer,332
31.12.2008,56 Albachten,Deutsche mit persönlicher Migrationsvorgeschichte,650
31.12.2008,56 Albachten,Deutsche mit vererbter Migrationsvorgeschichte,261
31.12.2008,56 Albachten,Deutsche ohne erkennbare Migrationsvorgeschichte,4312
31.12.2008,57 Roxel,Ausländer,599
31.12.2008,57 Roxel,Deutsche mit persönlicher Migrationsvorgeschichte,665
31.12.2008,57 Roxel,Deutsche mit vererbter Migrationsvorgeschichte,302
31.12.2008,57 Roxel,Deutsche ohne erkennbare Migrationsvorgeschichte,6720
31.12.2008,58 Nienberge,Ausländer,245
31.12.2008,58 Nienberge,Deutsche mit persönlicher Migrationsvorgeschichte,459
31.12.2008,58 Nienberge,Deutsche mit vererbter Migrationsvorgeschichte,132
31.12.2008,58 Nienberge,Deutsche ohne erkennbare Migrationsvorgeschichte,5494
31.12.2008,61 Coerde,Ausländer,1456
31.12.2008,61 Coerde,Deutsche mit persönlicher Migrationsvorgeschichte,2409
31.12.2008,61 Coerde,Deutsche mit vererbter Migrationsvorgeschichte,856
31.12.2008,61 Coerde,Deutsche ohne erkennbare Migrationsvorgeschichte,5229
31.12.2008,62 Kinderhaus-Ost,Ausländer,369
31.12.2008,62 Kinderhaus-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,643
31.12.2008,62 Kinderhaus-Ost,Deutsche mit vererbter Migrationsvorgeschichte,187
31.12.2008,62 Kinderhaus-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,3783
31.12.2008,63 Kinderhaus-West,Ausländer,1263
31.12.2008,63 Kinderhaus-West,Deutsche mit persönlicher Migrationsvorgeschichte,1961
31.12.2008,63 Kinderhaus-West,Deutsche mit vererbter Migrationsvorgeschichte,651
31.12.2008,63 Kinderhaus-West,Deutsche ohne erkennbare Migrationsvorgeschichte,6392
31.12.2008,68 Sprakel,Ausländer,101
31.12.2008,68 Sprakel,Deutsche mit persönlicher Migrationsvorgeschichte,212
31.12.2008,68 Sprakel,Deutsche mit vererbter Migrationsvorgeschichte,80
31.12.2008,68 Sprakel,Deutsche ohne erkennbare Migrationsvorgeschichte,2520
31.12.2008,71 Mauritz-Ost,Ausländer,487
31.12.2008,71 Mauritz-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,661
31.12.2008,71 Mauritz-Ost,Deutsche mit vererbter Migrationsvorgeschichte,185
31.12.2008,71 Mauritz-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,8456
31.12.2008,76 Gelmer-Dyckburg,Ausländer,145
31.12.2008,76 Gelmer-Dyckburg,Deutsche mit persönlicher Migrationsvorgeschichte,204
31.12.2008,76 Gelmer-Dyckburg,Deutsche mit vererbter Migrationsvorgeschichte,76
31.12.2008,76 Gelmer-Dyckburg,Deutsche ohne erkennbare Migrationsvorgeschichte,2993
31.12.2008,77 Handorf,Ausländer,288
31.12.2008,77 Handorf,Deutsche mit persönlicher Migrationsvorgeschichte,634
31.12.2008,77 Handorf,Deutsche mit vererbter Migrationsvorgeschichte,205
31.12.2008,77 Handorf,Deutsche ohne erkennbare Migrationsvorgeschichte,6346
31.12.2008,81 Gremmendorf-West,Ausländer,296
31.12.2008,81 Gremmendorf-West,Deutsche mit persönlicher Migrationsvorgeschichte,586
31.12.2008,81 Gremmendorf-West,Deutsche mit vererbter Migrationsvorgeschichte,246
31.12.2008,81 Gremmendorf-West,Deutsche ohne erkennbare Migrationsvorgeschichte,3554
31.12.2008,82 Gremmendorf-Ost,Ausländer,281
31.12.2008,82 Gremmendorf-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,466
31.12.2008,82 Gremmendorf-Ost,Deutsche mit vererbter Migrationsvorgeschichte,192
31.12.2008,82 Gremmendorf-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,5257
31.12.2008,86 Angelmodde,Ausländer,623
31.12.2008,86 Angelmodde,Deutsche mit persönlicher Migrationsvorgeschichte,1008
31.12.2008,86 Angelmodde,Deutsche mit vererbter Migrationsvorgeschichte,365
31.12.2008,86 Angelmodde,Deutsche ohne erkennbare Migrationsvorgeschichte,5419
31.12.2008,87 Wolbeck,Ausländer,375
31.12.2008,87 Wolbeck,Deutsche mit persönlicher Migrationsvorgeschichte,624
31.12.2008,87 Wolbeck,Deutsche mit vererbter Migrationsvorgeschichte,218
31.12.2008,87 Wolbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,7418
31.12.2008,91 Berg Fidel,Ausländer,889
31.12.2008,91 Berg Fidel,Deutsche mit persönlicher Migrationsvorgeschichte,1354
31.12.2008,91 Berg Fidel,Deutsche mit vererbter Migrationsvorgeschichte,384
31.12.2008,91 Berg Fidel,Deutsche ohne erkennbare Migrationsvorgeschichte,2998
31.12.2008,95 Hiltrup-Ost,Ausländer,282
31.12.2008,95 Hiltrup-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,668
31.12.2008,95 Hiltrup-Ost,Deutsche mit vererbter Migrationsvorgeschichte,191
31.12.2008,95 Hiltrup-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,5492
31.12.2008,96 Hiltrup-Mitte,Ausländer,669
31.12.2008,96 Hiltrup-Mitte,Deutsche mit persönlicher Migrationsvorgeschichte,973
31.12.2008,96 Hiltrup-Mitte,Deutsche mit vererbter Migrationsvorgeschichte,345
31.12.2008,96 Hiltrup-Mitte,Deutsche ohne erkennbare Migrationsvorgeschichte,7720
31.12.2008,97 Hiltrup-West,Ausländer,672
31.12.2008,97 Hiltrup-West,Deutsche mit persönlicher Migrationsvorgeschichte,1099
31.12.2008,97 Hiltrup-West,Deutsche mit vererbter Migrationsvorgeschichte,491
31.12.2008,97 Hiltrup-West,Deutsche ohne erkennbare Migrationsvorgeschichte,6604
31.12.2008,98 Amelsbüren,Ausländer,265
31.12.2008,98 Amelsbüren,Deutsche mit persönlicher Migrationsvorgeschichte,578
31.12.2008,98 Amelsbüren,Deutsche mit vererbter Migrationsvorgeschichte,256
31.12.2008,98 Amelsbüren,Deutsche ohne erkennbare Migrationsvorgeschichte,4788
31.12.2009,11 Aegidii,Ausländer,93
31.12.2009,11 Aegidii,Deutsche mit persönlicher Migrationsvorgeschichte,102
31.12.2009,11 Aegidii,Deutsche mit vererbter Migrationsvorgeschichte,19
31.12.2009,11 Aegidii,Deutsche ohne erkennbare Migrationsvorgeschichte,1141
31.12.2009,12 Überwasser,Ausländer,124
31.12.2009,12 Überwasser,Deutsche mit persönlicher Migrationsvorgeschichte,93
31.12.2009,12 Überwasser,Deutsche mit vererbter Migrationsvorgeschichte,16
31.12.2009,12 Überwasser,Deutsche ohne erkennbare Migrationsvorgeschichte,1042
31.12.2009,13 Dom,Ausländer,162
31.12.2009,13 Dom,Deutsche mit persönlicher Migrationsvorgeschichte,147
31.12.2009,13 Dom,Deutsche mit vererbter Migrationsvorgeschichte,22
31.12.2009,13 Dom,Deutsche ohne erkennbare Migrationsvorgeschichte,1805
31.12.2009,14 Buddenturm,Ausländer,131
31.12.2009,14 Buddenturm,Deutsche mit persönlicher Migrationsvorgeschichte,150
31.12.2009,14 Buddenturm,Deutsche mit vererbter Migrationsvorgeschichte,32
31.12.2009,14 Buddenturm,Deutsche ohne erkennbare Migrationsvorgeschichte,1928
31.12.2009,15 Martini,Ausländer,98
31.12.2009,15 Martini,Deutsche mit persönlicher Migrationsvorgeschichte,72
31.12.2009,15 Martini,Deutsche mit vererbter Migrationsvorgeschichte,12
31.12.2009,15 Martini,Deutsche ohne erkennbare Migrationsvorgeschichte,1088
31.12.2009,21 Pluggendorf,Ausländer,247
31.12.2009,21 Pluggendorf,Deutsche mit persönlicher Migrationsvorgeschichte,300
31.12.2009,21 Pluggendorf,Deutsche mit vererbter Migrationsvorgeschichte,28
31.12.2009,21 Pluggendorf,Deutsche ohne erkennbare Migrationsvorgeschichte,3502
31.12.2009,22 Josef,Ausländer,500
31.12.2009,22 Josef,Deutsche mit persönlicher Migrationsvorgeschichte,459
31.12.2009,22 Josef,Deutsche mit vererbter Migrationsvorgeschichte,73
31.12.2009,22 Josef,Deutsche ohne erkennbare Migrationsvorgeschichte,6877
31.12.2009,23 Bahnhof,Ausländer,73
31.12.2009,23 Bahnhof,Deutsche mit persönlicher Migrationsvorgeschichte,90
31.12.2009,23 Bahnhof,Deutsche mit vererbter Migrationsvorgeschichte,8
31.12.2009,23 Bahnhof,Deutsche ohne erkennbare Migrationsvorgeschichte,851
31.12.2009,24 Hansaplatz,Ausländer,427
31.12.2009,24 Hansaplatz,Deutsche mit persönlicher Migrationsvorgeschichte,418
31.12.2009,24 Hansaplatz,Deutsche mit vererbter Migrationsvorgeschichte,90
31.12.2009,24 Hansaplatz,Deutsche ohne erkennbare Migrationsvorgeschichte,5493
31.12.2009,25 Mauritz-West,Ausländer,281
31.12.2009,25 Mauritz-West,Deutsche mit persönlicher Migrationsvorgeschichte,297
31.12.2009,25 Mauritz-West,Deutsche mit vererbter Migrationsvorgeschichte,76
31.12.2009,25 Mauritz-West,Deutsche ohne erkennbare Migrationsvorgeschichte,5075
31.12.2009,26 Schlachthof,Ausländer,249
31.12.2009,26 Schlachthof,Deutsche mit persönlicher Migrationsvorgeschichte,437
31.12.2009,26 Schlachthof,Deutsche mit vererbter Migrationsvorgeschichte,179
31.12.2009,26 Schlachthof,Deutsche ohne erkennbare Migrationsvorgeschichte,3953
31.12.2009,27 Kreuz,Ausländer,486
31.12.2009,27 Kreuz,Deutsche mit persönlicher Migrationsvorgeschichte,573
31.12.2009,27 Kreuz,Deutsche mit vererbter Migrationsvorgeschichte,146
31.12.2009,27 Kreuz,Deutsche ohne erkennbare Migrationsvorgeschichte,10534
31.12.2009,28 Neutor,Ausländer,399
31.12.2009,28 Neutor,Deutsche mit persönlicher Migrationsvorgeschichte,293
31.12.2009,28 Neutor,Deutsche mit vererbter Migrationsvorgeschichte,61
31.12.2009,28 Neutor,Deutsche ohne erkennbare Migrationsvorgeschichte,3071
31.12.2009,29 Schloss,Ausländer,170
31.12.2009,29 Schloss,Deutsche mit persönlicher Migrationsvorgeschichte,119
31.12.2009,29 Schloss,Deutsche mit vererbter Migrationsvorgeschichte,31
31.12.2009,29 Schloss,Deutsche ohne erkennbare Migrationsvorgeschichte,1585
31.12.2009,31 Aaseestadt,Ausländer,515
31.12.2009,31 Aaseestadt,Deutsche mit persönlicher Migrationsvorgeschichte,594
31.12.2009,31 Aaseestadt,Deutsche mit vererbter Migrationsvorgeschichte,131
31.12.2009,31 Aaseestadt,Deutsche ohne erkennbare Migrationsvorgeschichte,4075
31.12.2009,32 Geist,Ausländer,555
31.12.2009,32 Geist,Deutsche mit persönlicher Migrationsvorgeschichte,704
31.12.2009,32 Geist,Deutsche mit vererbter Migrationsvorgeschichte,213
31.12.2009,32 Geist,Deutsche ohne erkennbare Migrationsvorgeschichte,7202
31.12.2009,33 Schützenhof,Ausländer,722
31.12.2009,33 Schützenhof,Deutsche mit persönlicher Migrationsvorgeschichte,651
31.12.2009,33 Schützenhof,Deutsche mit vererbter Migrationsvorgeschichte,171
31.12.2009,33 Schützenhof,Deutsche ohne erkennbare Migrationsvorgeschichte,5458
31.12.2009,34 Düesberg,Ausländer,288
31.12.2009,34 Düesberg,Deutsche mit persönlicher Migrationsvorgeschichte,487
31.12.2009,34 Düesberg,Deutsche mit vererbter Migrationsvorgeschichte,128
31.12.2009,34 Düesberg,Deutsche ohne erkennbare Migrationsvorgeschichte,5809
31.12.2009,43 Hafen,Ausländer,117
31.12.2009,43 Hafen,Deutsche mit persönlicher Migrationsvorgeschichte,39
31.12.2009,43 Hafen,Deutsche mit vererbter Migrationsvorgeschichte,15
31.12.2009,43 Hafen,Deutsche ohne erkennbare Migrationsvorgeschichte,824
31.12.2009,44 Herz-Jesu,Ausländer,305
31.12.2009,44 Herz-Jesu,Deutsche mit persönlicher Migrationsvorgeschichte,381
31.12.2009,44 Herz-Jesu,Deutsche mit vererbter Migrationsvorgeschichte,88
31.12.2009,44 Herz-Jesu,Deutsche ohne erkennbare Migrationsvorgeschichte,4322
31.12.2009,45 Mauritz-Mitte,Ausländer,404
31.12.2009,45 Mauritz-Mitte,Deutsche mit persönlicher Migrationsvorgeschichte,630
31.12.2009,45 Mauritz-Mitte,Deutsche mit vererbter Migrationsvorgeschichte,171
31.12.2009,45 Mauritz-Mitte,Deutsche ohne erkennbare Migrationsvorgeschichte,8692
31.12.2009,46 Rumphorst,Ausländer,405
31.12.2009,46 Rumphorst,Deutsche mit persönlicher Migrationsvorgeschichte,654
31.12.2009,46 Rumphorst,Deutsche mit vererbter Migrationsvorgeschichte,240
31.12.2009,46 Rumphorst,Deutsche ohne erkennbare Migrationsvorgeschichte,6491
31.12.2009,47 Uppenberg,Ausländer,679
31.12.2009,47 Uppenberg,Deutsche mit persönlicher Migrationsvorgeschichte,792
31.12.2009,47 Uppenberg,Deutsche mit vererbter Migrationsvorgeschichte,295
31.12.2009,47 Uppenberg,Deutsche ohne erkennbare Migrationsvorgeschichte,6234
31.12.2009,51 Gievenbeck,Ausländer,2390
31.12.2009,51 Gievenbeck,Deutsche mit persönlicher Migrationsvorgeschichte,2629
31.12.2009,51 Gievenbeck,Deutsche mit vererbter Migrationsvorgeschichte,1093
31.12.2009,51 Gievenbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,12816
31.12.2009,52 Sentrup,Ausländer,513
31.12.2009,52 Sentrup,Deutsche mit persönlicher Migrationsvorgeschichte,441
31.12.2009,52 Sentrup,Deutsche mit vererbter Migrationsvorgeschichte,130
31.12.2009,52 Sentrup,Deutsche ohne erkennbare Migrationsvorgeschichte,5318
31.12.2009,54 Mecklenbeck,Ausländer,648
31.12.2009,54 Mecklenbeck,Deutsche mit persönlicher Migrationsvorgeschichte,1047
31.12.2009,54 Mecklenbeck,Deutsche mit vererbter Migrationsvorgeschichte,300
31.12.2009,54 Mecklenbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,7302
31.12.2009,56 Albachten,Ausländer,327
31.12.2009,56 Albachten,Deutsche mit persönlicher Migrationsvorgeschichte,680
31.12.2009,56 Albachten,Deutsche mit vererbter Migrationsvorgeschichte,286
31.12.2009,56 Albachten,Deutsche ohne erkennbare Migrationsvorgeschichte,4391
31.12.2009,57 Roxel,Ausländer,589
31.12.2009,57 Roxel,Deutsche mit persönlicher Migrationsvorgeschichte,664
31.12.2009,57 Roxel,Deutsche mit vererbter Migrationsvorgeschichte,298
31.12.2009,57 Roxel,Deutsche ohne erkennbare Migrationsvorgeschichte,6666
31.12.2009,58 Nienberge,Ausländer,258
31.12.2009,58 Nienberge,Deutsche mit persönlicher Migrationsvorgeschichte,496
31.12.2009,58 Nienberge,Deutsche mit vererbter Migrationsvorgeschichte,149
31.12.2009,58 Nienberge,Deutsche ohne erkennbare Migrationsvorgeschichte,5538
31.12.2009,61 Coerde,Ausländer,1457
31.12.2009,61 Coerde,Deutsche mit persönlicher Migrationsvorgeschichte,2402
31.12.2009,61 Coerde,Deutsche mit vererbter Migrationsvorgeschichte,900
31.12.2009,61 Coerde,Deutsche ohne erkennbare Migrationsvorgeschichte,5182
31.12.2009,62 Kinderhaus-Ost,Ausländer,354
31.12.2009,62 Kinderhaus-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,626
31.12.2009,62 Kinderhaus-Ost,Deutsche mit vererbter Migrationsvorgeschichte,200
31.12.2009,62 Kinderhaus-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,3703
31.12.2009,63 Kinderhaus-West,Ausländer,1264
31.12.2009,63 Kinderhaus-West,Deutsche mit persönlicher Migrationsvorgeschichte,1964
31.12.2009,63 Kinderhaus-West,Deutsche mit vererbter Migrationsvorgeschichte,666
31.12.2009,63 Kinderhaus-West,Deutsche ohne erkennbare Migrationsvorgeschichte,6365
31.12.2009,68 Sprakel,Ausländer,114
31.12.2009,68 Sprakel,Deutsche mit persönlicher Migrationsvorgeschichte,225
31.12.2009,68 Sprakel,Deutsche mit vererbter Migrationsvorgeschichte,96
31.12.2009,68 Sprakel,Deutsche ohne erkennbare Migrationsvorgeschichte,2521
31.12.2009,71 Mauritz-Ost,Ausländer,470
31.12.2009,71 Mauritz-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,651
31.12.2009,71 Mauritz-Ost,Deutsche mit vererbter Migrationsvorgeschichte,202
31.12.2009,71 Mauritz-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,8420
31.12.2009,76 Gelmer-Dyckburg,Ausländer,141
31.12.2009,76 Gelmer-Dyckburg,Deutsche mit persönlicher Migrationsvorgeschichte,206
31.12.2009,76 Gelmer-Dyckburg,Deutsche mit vererbter Migrationsvorgeschichte,79
31.12.2009,76 Gelmer-Dyckburg,Deutsche ohne erkennbare Migrationsvorgeschichte,2988
31.12.2009,77 Handorf,Ausländer,299
31.12.2009,77 Handorf,Deutsche mit persönlicher Migrationsvorgeschichte,623
31.12.2009,77 Handorf,Deutsche mit vererbter Migrationsvorgeschichte,220
31.12.2009,77 Handorf,Deutsche ohne erkennbare Migrationsvorgeschichte,6451
31.12.2009,81 Gremmendorf-West,Ausländer,294
31.12.2009,81 Gremmendorf-West,Deutsche mit persönlicher Migrationsvorgeschichte,598
31.12.2009,81 Gremmendorf-West,Deutsche mit vererbter Migrationsvorgeschichte,253
31.12.2009,81 Gremmendorf-West,Deutsche ohne erkennbare Migrationsvorgeschichte,3573
31.12.2009,82 Gremmendorf-Ost,Ausländer,253
31.12.2009,82 Gremmendorf-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,485
31.12.2009,82 Gremmendorf-Ost,Deutsche mit vererbter Migrationsvorgeschichte,192
31.12.2009,82 Gremmendorf-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,5387
31.12.2009,86 Angelmodde,Ausländer,648
31.12.2009,86 Angelmodde,Deutsche mit persönlicher Migrationsvorgeschichte,983
31.12.2009,86 Angelmodde,Deutsche mit vererbter Migrationsvorgeschichte,359
31.12.2009,86 Angelmodde,Deutsche ohne erkennbare Migrationsvorgeschichte,5360
31.12.2009,87 Wolbeck,Ausländer,387
31.12.2009,87 Wolbeck,Deutsche mit persönlicher Migrationsvorgeschichte,620
31.12.2009,87 Wolbeck,Deutsche mit vererbter Migrationsvorgeschichte,225
31.12.2009,87 Wolbeck,Deutsche ohne erkennbare Migrationsvorgeschichte,7337
31.12.2009,91 Berg Fidel,Ausländer,877
31.12.2009,91 Berg Fidel,Deutsche mit persönlicher Migrationsvorgeschichte,1314
31.12.2009,91 Berg Fidel,Deutsche mit vererbter Migrationsvorgeschichte,390
31.12.2009,91 Berg Fidel,Deutsche ohne erkennbare Migrationsvorgeschichte,3005
31.12.2009,95 Hiltrup-Ost,Ausländer,288
31.12.2009,95 Hiltrup-Ost,Deutsche mit persönlicher Migrationsvorgeschichte,631
31.12.2009,95 Hiltrup-Ost,Deutsche mit vererbter Migrationsvorgeschichte,207
31.12.2009,95 Hiltrup-Ost,Deutsche ohne erkennbare Migrationsvorgeschichte,5453
31.12.2009,96 Hiltrup-Mitte,Ausländer,685
31.12.2009,96 Hiltrup-Mitte,Deutsche mit persönlicher Migrationsvorgeschichte,963
31.12.2009,96 Hiltrup-Mitte,Deutsche mit vererbter Migrationsvorgeschichte,344
31.12.2009,96 Hiltrup-Mitte,Deutsche ohne erkennbare Migrationsvorgeschichte,7754
31.12.2009,97 Hiltrup-West,Ausländer,678
31.12.2009,97 Hiltrup-West,Deutsche mit persönlicher Migrationsvorgeschichte,1129
31.12.2009,97 Hiltrup-West,Deutsche mit vererbter Migrationsvorgeschichte,516
31.12.2009,97 Hiltrup-West,Deutsche ohne erkennbare Migrationsvorgeschichte,6585
31.12.2009,98 Amelsbüren,Ausländer,285
31.12.2009,98 Amelsbüren,Deutsche mit persönlicher Migrationsvorgeschichte,591
